code,subject_1,subject_2,subject_3,display_name,is_verified
A00,Toán,Vật lý,Hóa học,A00,true
A01,Toán,Vật lý,Tiếng Anh,A01,true
A02,Toán,Vật lý,Sinh học,A02,true
A03,Toán,Vật lý,Lịch sử,A03,true
A04,Toán,Vật lý,Địa lý,A04,true
A05,Toán,Hóa học,Lịch sử,A05,true
A06,Toán,Hóa học,Địa lý,A06,true
A07,Toán,Lịch sử,Địa lý,A07,true
A08,,,,Tổ hợp A08,true
A09,,,,Tổ hợp A09,true
A10,,,,Tổ hợp A10,true
A11,,,,Tổ hợp A11,true
A12,,,,Tổ hợp A12,false
A13,,,,Tổ hợp A13,false
A14,,,,Tổ hợp A14,false
A15,,,,Tổ hợp A15,false
A16,,,,Tổ hợp A16,false
A17,,,,Tổ hợp A17,false
A18,,,,Tổ hợp A18,false
A19,,,,Tổ hợp A19,false
B00,Toán,Hóa học,Sinh học,B00,true
B01,,,,Tổ hợp B01,true
B02,,,,Tổ hợp B02,true
B03,,,,Tổ hợp B03,true
B04,,,,Tổ hợp B04,true
B05,,,,Tổ hợp B05,false
B08,,,,Tổ hợp B08,true
C00,Ngữ văn,Lịch sử,Địa lý,C00,true
C01,,,,Tổ hợp C01,true
C02,,,,Tổ hợp C02,true
C03,,,,Tổ hợp C03,true
C04,,,,Tổ hợp C04,true
C05,,,,Tổ hợp C05,false
C06,,,,Tổ hợp C06,false
C07,,,,Tổ hợp C07,true
C08,,,,Tổ hợp C08,false
C09,,,,Tổ hợp C09,false
C10,,,,Tổ hợp C10,false
C11,,,,Tổ hợp C11,false
C12,,,,Tổ hợp C12,false
C13,,,,Tổ hợp C13,false
C14,,,,Tổ hợp C14,true
C15,,,,Tổ hợp C15,false
C16,,,,Tổ hợp C16,false
C19,,,,Tổ hợp C19,true
C20,,,,Tổ hợp C20,true
D00,,,,Tổ hợp D00,false
D01,Ngữ văn,Toán,Tiếng Anh,D01,true
D02,,,,Tổ hợp D02,true
D03,,,,Tổ hợp D03,true
D04,,,,Tổ hợp D04,true
D05,,,,Tổ hợp D05,true
D06,,,,Tổ hợp D06,true
D07,Toán,Hóa học,Tiếng Anh,D07,true
D08,Toán,Sinh học,Tiếng Anh,D08,true
D09,Toán,Lịch sử,Tiếng Anh,D09,true
D10,Toán,Địa lý,Tiếng Anh,D10,true
D11,,,,Tổ hợp D11,true
D12,,,,Tổ hợp D12,true
D13,,,,Tổ hợp D13,true
D14,Ngữ văn,Lịch sử,Tiếng Anh,D14,true
D15,Ngữ văn,Địa lý,Tiếng Anh,D15,true
D16,,,,Tổ hợp D16,false
D20,,,,Tổ hợp D20,true
D21,,,,Tổ hợp D21,false
D22,,,,Tổ hợp D22,false
D23,,,,Tổ hợp D23,false
D24,,,,Tổ hợp D24,false
D25,,,,Tổ hợp D25,false
D26,,,,Tổ hợp D26,false
D27,,,,Tổ hợp D27,false
D28,,,,Tổ hợp D28,false
D29,,,,Tổ hợp D29,false
D30,,,,Tổ hợp D30,true
D31,,,,Tổ hợp D31,false
D32,,,,Tổ hợp D32,false
D33,,,,Tổ hợp D33,false
D34,,,,Tổ hợp D34,false
D35,,,,Tổ hợp D35,false
D40,,,,Tổ hợp D40,false
D41,,,,Tổ hợp D41,false
D42,,,,Tổ hợp D42,false
D43,,,,Tổ hợp D43,false
D44,,,,Tổ hợp D44,false
D45,,,,Tổ hợp D45,true
D55,,,,Tổ hợp D55,true
D61,,,,Tổ hợp D61,false
D62,,,,Tổ hợp D62,false
D63,,,,Tổ hợp D63,true
D64,,,,Tổ hợp D64,false
D65,,,,Tổ hợp D65,true
D66,,,,Tổ hợp D66,true
D68,,,,Tổ hợp D68,false
D69,,,,Tổ hợp D69,false
D70,,,,Tổ hợp D70,false
D71,,,,Tổ hợp D71,false
D72,,,,Tổ hợp D72,false
D78,,,,Tổ hợp D78,true
D83,,,,Tổ hợp D83,true
D84,,,,Tổ hợp D84,true
D89,,,,Tổ hợp D89,false
D90,,,,Tổ hợp D90,false
D91,,,,Tổ hợp D91,false
D96,,,,Tổ hợp D96,false
D97,,,,Tổ hợp D97,false
D98,,,,Tổ hợp D98,false
H00,,,,Tổ hợp H00,true
H01,,,,Tổ hợp H01,true
H02,,,,Tổ hợp H02,true
H04,,,,Tổ hợp H04,false
H05,,,,Tổ hợp H05,false
H06,,,,Tổ hợp H06,true
H07,,,,Tổ hợp H07,true
H08,,,,Tổ hợp H08,true
H09,,,,Tổ hợp H09,true
K00,,,,Tổ hợp K00,true
K01,,,,Tổ hợp K01,false
K02,,,,Tổ hợp K02,false
M00,,,,Tổ hợp M00,false
M02,,,,Tổ hợp M02,true
M03,,,,Tổ hợp M03,true
